Date,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,activity,shark_species
1956-12-09,Provoked,New Zealand,North Island,North Auckland,Fishing,M,70,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,N,Unknown,"Mako shark, ",fishing,mako shark
1956-09-23,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surf fishing,M,27,Posterior left ankle bitten,N,Unknown,sand shark,fishing,sand shark
1956-08-15,Unprovoked,USA,Puerto Rico,North coast,Skin diving,M,13,FATAL,Y,Unknown,Unknown,diving,
1956-01-01,Unprovoked,Greece,Corfu Island,KÃ©rkira,Swimming off yacht,F,15,FATAL,Y,Unknown,White shark,swimming,white shark
1956-01-01,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,14,No details,Unknown,Unknown,Unknown,swimming,
1955-08-30,Unprovoked,Japan,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",Fishing,M,Unknown,FATAL,Y,Unknown,Unknown,fishing,
1955-06-23,Unprovoked,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Wading,M,13,Bites on legs & thighs,N,Unknown,  sand shark,other,sand shark
1955-05-08,Provoked,USA,California,"Malibu, Los Angeles County",Spearfishing,M,28,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,Unknown,  shark,fishing,
1955-04-13,Unprovoked,Papua New Guinea,Central Province,"Hadrianâ€™s (Haidana?) Island, near Port Moresby",Spearfishing or fishing,M,Unknown,Left shoulder bitten,N,Unknown,shark,fishing,
1955-01-01,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Unknown,Unknown,Unknown,No details,Unknown,Unknown,Unknown,other,
1954-12-29,Unprovoked,American Samoa,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Dived overboard & was swimming near stern of trawler,M,27,FATAL,Y,Unknown,Unknown,swimming,
1954-12-29,Unprovoked,Liberia,Montserrado,"West Breakwater, Monrovia / Freeport","Diving, recovering fish killed by dynamite",M,Unknown,FATAL,Y,Unknown,Unknown,diving,
1951-09-29,Unprovoked,Italy,Salerno,Amalfi,Swimming,F,21,FATAL,Y,Unknown,Unknown,swimming,
1950-07-27,Watercraft,Australia,South Australia,Streaky Bay,Fishing,Unknown,Unknown,No injury to occupants,N,Unknown,white shark,fishing,white shark
1949-08-28,Unprovoked,Australia,Queensland,Yorkeyâ€™s Knob Beach near Cairns,Swimming,M,21,Abdomen & chest abraded,N,13:20,Unknown,swimming,
1949-01-01,Unprovoked,Papua New Guinea,Bougainville (North Solomons),"Sohano Island, Buka Passage",Swimming close to wharf,M,Unknown,Hand severed,N,Unknown,Unknown,swimming,
1946-04-01,Watercraft,Australia,South Australia,Port Newby,Fishing,Unknown,Unknown,"No injury to occupants. Shark charged boat, tore off rudder & tossed it air, then swam off with it",N,Unknown,   shark,fishing,
1944-01-16,Watercraft,Australia,Western Australia,"Cottesloe, Perth",Fishing,M,Unknown,"No injury, shark took day's catch & struck boat",N,Unknown,shark,fishing,
1943-11-21,Unprovoked,South Africa,Eastern Cape Province,Kei River Mouth,Swimming with board,M,Unknown,Right foot lacerated,N,Unknown,Unknown,swimming,
1943-05-17,Sea Disaster,Central Pacific,Unknown,68 miles east of Wallis Island,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",M,Unknown,"FATAL, right leg & left thigh bitten",Y,Unknown,Unknown,other,
1942-01-01,Provoked,Australia,New South Wales,"Fairy Bower, near North Steyne",Surf-skiing,M,Unknown,Attempted to frighten shark by smacking water with paddle. Shark bit paddle.  No injury to surf-skier PROVOKED INCIDENT,N,Unknown,  shark,surfing,
1939-11-06,Watercraft,Australia,New South Wales,Wollongong,Unknown,Unknown,Unknown,No details,Unknown,Unknown,Unknown,other,
1938-01-01,Unprovoked,Egypt,Unknown,Mersa Matruh,Sponge diving,M,Unknown,FATAL,Y,Unknown,Unknown,diving,
1937-05-15,Unprovoked,Australia,Queensland,"Ross River, Townsville","Refused permission to cross on the ferry, he was swimming across the river",M,33,"FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee",Y,Nig:t, days later ,swimming,
1937-03-09,Invalid,Australia,Victoria,Port Melbourne,Swimming,M,43,Shark involvement prior to death was not confirmed,Unknown,Unknown,Shark involvement prior  death was not confirmed,swimming,
1936-01-01,Unprovoked,Australia,Victoria,"Port Phillip Bay, Port Melbourne",Swimming,M,Unknown,FATAL,Y,Unknown,Unknown,swimming,
1934-02-22,Unprovoked,Chile,Elqui Province,Coquimbo,Fell into the water,M,Unknown,FATAL,Y,Unknown,Unknown,sea accident,
1932-08-06,Provoked,Bahamas,New Providence District,"Nassau, New Providence Island",On expedition filming a feature movie & standing on tripod,M,18,"No injury, hooked shark rammed tripod PROVOKED INCIDENT",N,Unknown,Unknown,bathing,
1930-07-11,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,21,Arm lacerated from shoulder to wrist,N,Unknown,Tiger shark,swimming,tiger shark
1929-06-23,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,M,Unknown,Leg bitten by hooked shark PROVOKED INCIDENT,N,Unknown,,fishing,
1928-03-28,Unprovoked,Australia,Queensland,Unknown,Unknown,M,Unknown,Hip bitten,N,Unknown,Unknown,other,
1928-03-28,Unprovoked,Australia,New South Wales,Coogee,Bathing in waist-deep water,M,16,"Left thigh bitten, leg surgically amputated",N,17:00,Said  be â€œsmall sharkâ€,bathing,
1919-04-06,Unprovoked,USA,Florida,"Florida Keys 25ÂºN,82ÂºW",Knocked into the water,M,Unknown,FATAL,Y,Unknown," , ",other,
1918-03-22,Unprovoked,Australia,New South Wales,Newcastle,Surfing,M,Unknown,"Severe laceration to arm, necessitating surgical amputation at the elbow",N,18:00,shark,surfing,
1916-11-10,Unprovoked,Australia,Queensland,Townsville,Swimming,M,Unknown,FATAL,Y,06:00,Unknown,swimming,
1916-07-26,Unprovoked,USA,North Carolina,"Atlantic, near New Bern, Craven County",Fishing,M,Unknown,Arm severely lacerated,N,Unknown,Unknown,fishing,
1915-01-01,Unprovoked,Australia,New South Wales,"Sirius Cove, Sydney Harbor",Bathing,M,17,FATAL,Y,Unknown,Unknown,bathing,
1914-07-15,Unprovoked,Croatia,Zadar County,Biograd na moru,Washing clothes,F,Unknown,"No injury, shark grabbed clothes",N,Unknown,  shark,other,
1913-01-01,Unprovoked,Australia,Torres Strait,Thursday Island,Diving,M,Unknown,"Head, neck & left shoulder bitten",N,Unknown,Tiger shark,diving,tiger shark
1913-01-01,Unprovoked,Australia,Victoria,Brighton,Unknown,M,Unknown,Arm severed,N,Unknown,Unknown,other,
1911-05-01,Unprovoked,South Africa,Western Cape Province,Victoria Bay,Swimming,M,Unknown,FATAL,Y,Unknown,Unknown,swimming,
1909-07-24,Unprovoked,USA,New York,Rockaway,Fell overboard while fishing for sharks,M,Unknown,Right leg bitten,N,Unknown,Unknown,fishing,
1907-02-03,Unprovoked,Australia,Queensland,Ross Creek,Bathing,M,18,FATAL,Y,Unknown,Unknown,bathing,
1906-07-01,Invalid,Mozambique,Maputo Province,Lourenco Marques,Unknown,M,Unknown,Sanna may have drowned; his hand  (identified by ring on finger) found in a shark at the market,Unknown,Unknown,Questionable,other,
1903-10-04,Unprovoked,Cuba,Havana Province,Havana Harbor,Fell overboard,M,Unknown,FATAL,Y,Unknown,Unknown,sea accident,
1901-07-17,Invalid,Italy,Syracuse,Capo Santa Croce,Swimming,M,20,"Disappeared, but shark involvement unconfirmed",Unknown,Unknown,Questionable,swimming,
1900-09-15,Unprovoked,Australia,Queensland,Townsville,Swimming,M,Unknown,Laceration to right leg,N,Unknown,Unknown,swimming,
1900-09-05,Unprovoked,USA,Hawaii,"Waikiki Beach, Oahu",Floating,M,Unknown,Bathing suit torn & imprints of the shark's teeth on his body,N,Unknown,Unknown,bathing,
2022-08-17,Unprovoked,Australia,New South Wales,Coffs Harbour,Kayaking,M,Unknown,"No injury, kayak bitten in half",N,Unknown,"White shark,  m",kayaking/canoeing,white shark
2022-08-15,Unprovoked,Australia,Westerm Australia,Goode Beach,Spearfishing,M,17,Lacerations to lower legs,N,Unknown,White shark,fishing,white shark
2022-05-03,Provoked,USA,Georgia,"ÃŽle de Saint Simon, Glynn County",Fishing,M,Unknown,Thumb bitten by hooked shark PROVOKED INCIDENT,N,19:12,Atlantic blacktip shark,fishing,blacktip shark
2022-03-15,Unprovoked,New Zealand,South Island,Cobden,Surfing,M,Unknown,"No injury, shark leapt on surfboard",N,Unknown,Unknown,surfing,
2021-03-02,Unprovoked,New Caledonia,Loyalty Islands,OuvÃ©a,Spearfishing,M,16,Left leg bitten,N,Unknown,Tiger shark,fishing,tiger shark
2021-02-20,Provoked,Australia,Queensland,Waterford West,Fishing,M,Unknown,Superficial wound       PROVOKED INCIDENT,N,17:30,"Bull shark, cm",fishing,bull shark
2021-01-13,Unprovoked,Brazil,Pernambuco,Cacimba do Padre Beach,Surfing,M,52,Puncture wounds to right hand,N,Unknown,Unknown,surfing,
2020-12-06,Unprovoked,USA,Oregon,"Seaside Cove, Clatsop County",Surfing,M,20,Non-life-threatening to left lower leg & foot,N,15:20,Unknown,surfing,
2020-04-07,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,F,Unknown,Foot bitten,N,10:00,"Bull shark, '",surfing,bull shark
2020-01-07,Unprovoked,Australia,Queensland,North West Island,Swimming,F,7,Lacerations to leg,N,17:30,Lemon shark,swimming,lemon shark
2019-12-26,Unprovoked,South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surf skiing,M,Unknown,"No injury, shark bit surf ski",N,07:00,Unknown,surfing,
2019-07-28,Unprovoked,Australia,Queensland,Magra Islet,Snorkeling,F,Unknown,Lacerations to lower leg,Unknown,18:30,Unknown,snorkelling,
2019-06-16,Unprovoked,USA,Georgia,"Wilmington River, Chatham County",Swimming,M,64,Arc of lacerations to bicep,N,09:00,"Bull shark,  '",swimming,bull shark
2018-10-16,Watercraft,Samoa,Upolo,Unknown,Surf skiing,M,Unknown,"No injury, tail of surf ski bitten off",N,Unknown,Unknown,surfing,
2017-11-30,Unprovoked,Costa Rica,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,Unknown,"Tiger shark, female",scuba diving,tiger shark
2017-08-18,Unprovoked,Bahamas,Unknown,Unknown,Spearfishing,M,Unknown,Hand injured,N,15:00,shark,fishing,
2017-07-20,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07:45,"White shark,  '",other,white shark
2017-06-17,Unprovoked,Spain,Ibiza Island,Playa dâ€™en Bossa,Swimming,M,82,2-inch laceration to hand,N,12:00,Unknown,swimming,
2017-06-14,Unprovoked,Bahamas,Unknown,Unknown,Feeding sharks,F,Unknown,Fingernail pulled off,N,Unknown,Unknown,feeding,
2017-05-06,Provoked,Australia,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,Unknown,shark,other,
2017-02-11,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13:30,Unknown,swimming,
2016-06-07,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,"No injury, board damaged",Unknown,11:30,Said  involve an shark but more likely damage caused by debris,surfing,
2016-03-30,Unprovoked,Australia,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N,19:00,Unknown,surfing,
2015-09-06,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17:30,"White shark,  '",paddle surfing,white shark
2015-09-01,Unprovoked,Fiji,Unknown,Unknown,Spearfishing,M,Unknown,Leg bitten,N,Unknown,Tiger shark,fishing,tiger shark
2015-07-19,Unprovoked,South Africa,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,Unknown,White shark,surfing,white shark
2015-07-03,Unprovoked,Australia,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,09:00,White shark,surfing,white shark
2015-04-13,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,Unknown,"Blue shark,    feet",other,blue shark
2015-01-06,Unprovoked,Bahamas,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,16:00,White shark or oceanic whitetip shark,snorkelling,white shark
2014-07-03,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,N,Unknown, shark,surfing,
2014-05-04,Unprovoked,South Africa,Western Cape Province,Simonstown,Diving,Unknown,Unknown,4-inch laceration to arm,N,Unknown,Cow shark,diving,cow shark
2013-11-23,Unprovoked,Australia,Western Australia,Gracetown,Surfing,M,35,FATAL,Y,09:00,Thought  involve white shark,surfing,white shark
2013-11-07,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,Unknown,Foot bitten,N,Unknown,Unknown,surfing,
2013-09-25,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,7,Laceration and puncture wounds to ankle,N,10:30,Unknown,bathing,
2013-07-07,Invalid,Spain,Catalonia,"Sant Marti dâ€™Empuries Beach, Lâ€™Escala",Swimming,M,48,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",Unknown,Unknown,Shark involvement not confirmed,swimming,
2012-12-01,Unprovoked,New Zealand,South Island,"Sunday Cove, Fiordland",Scuba diving,F,25,"No injury, shark grabbed hood",N,Unknown,Seven,scuba diving,
2012-07-06,Unprovoked,South Africa,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,29,Lacerattions to left thigh & knee,N,16:30,shark,surfing,
2012-06-14,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,Unknown,Calf bitten,N,Unknown,small blacktip shark?,swimming,blacktip shark
2012-01-27,Unprovoked,USA,Hawaii,Lanai,Snorkeling,Unknown,Unknown,"No injury, shark bit swim fin",N,11:05, shark,snorkelling,
2012-01-02,Unprovoked,Australia,Queensland,Duranbah,Spearfishing,M,34,"No injury, punctures to swim fin",N,09:00,Allegedly  tiger shark,fishing,tiger shark
2011-09-16,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,N,11:00, shark,surfing,
2011-08-16,Unprovoked,Seychelles,Praslin,Anse Lazio,Swimming or Snorkeling,M,30,FATAL,Y,16:30,"Bull shark, '",swimming,bull shark
2011-07-25,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,M,Unknown,"No injury, shark bit boot",N,Nig:t,Unknown,fishing,
2011-05-22,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,Unknown,"No injury, board bitten",N,12:00,Tiger shark,paddle surfing,tiger shark
2011-04-08,Unprovoked,Fiji,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,N,Unknown,Unknown,diving,
2011-01-03,Watercraft,Australia,Western Australia,Busselton,Fishing,Unknown,Unknown,"No injury, shark nudged boat and bit propeller",N,12:00,White shark,fishing,white shark
2010-12-05,Unprovoked,Egypt,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,12:00,"Oceanic whitetip shark, .m",snorkelling,oceanic whitetip shark
2010-10-30,Unprovoked,Australia,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,12:30,White shark,snorkelling,white shark
2010-09-07,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,Unknown,shark,swimming,
2010-07-16,Unprovoked,USA,Texas,Galveston,Fishing,M,Unknown,Leg bitten,N,Unknown,Unknown,fishing,
2009-12-12,Watercraft,Australia,New South Wales,Hawks Nest Beach,Rowing,Unknown,Unknown,No injury to occupants; shark bit steering oar,N,07:30,White shark,other,white shark
2009-03-19,Unprovoked,Australia,New South Wales,Bateman's Bay,Surfing,F,Unknown,"No injury, shark bit nose of surfboard",N,07:45,Unknown,surfing,
2009-01-23,Invalid,Brazil,MaranhÃ£o,Olho d'Ãgua,Swimming,M,17,"Drowned, body scavenged by shark",Unknown,Unknown,Invalid,swimming,
2009-01-11,Unprovoked,Australia,New South Wales,Fingal Beach,Surfing,M,31,Left thigh severely bitten,N,09:00,"White shark, .m",surfing,white shark
2008-11-06,Unprovoked,Philippines,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,39,Torso & righ arm bitten FATAL,Y,Unknown,Unknown,fishing,
2008-08-24,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,20,Minor injury to left foot,N,15:00,Unknown,swimming,
2008-07-26,Unprovoked,USA,Hawaii,"Honokowai, Maui",Swimming,M,Unknown,Minor injury,N,15:30, reef shark,swimming,
2008-07-11,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,24,Laceration to foream,N,14:00,Unknown,surfing,
2008-03-28,Unprovoked,South Africa,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,39,Right leg bitten,N,Unknown,Unknown,fishing,
2008-03-28,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,M,Unknown,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,Unknown,"Nurse shark, '",fishing,nurse shark
2007-06-05,Unprovoked,Australia,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,Unknown,Lacerations to leg & ankle,N,Unknown,Unknown,surfing,
2007-05-12,Unprovoked,Australia,Victoria,Warrnambool,Surfing,M,19,"No injury, shark's fin caught his leg",N,17:45,shark,surfing,
2007-05-10,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,Knee bitten,N,16:00, shark,surfing,
2007-05-01,Provoked,Bahamas,Bimini Islands,Unknown,Shark tagging,F,20,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,Unknown,"Lemon shark, > m",other,lemon shark
2006-09-02,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,12 or 13,Arm bitten,N,17:55,Unknown,swimming,
2006-01-07,Unprovoked,Australia,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,21,FATAL,Y,17:15,Bull shark,swimming,bull shark
2005-11-24,Unprovoked,New Caledonia,Loyalty Islands,MarÃ©,Spearfishing,Unknown,Unknown,Arm bitten,N,20:30,Unknown,fishing,
2005-09-23,Unprovoked,Australia,Western Australia,"Scarborough Beach, Perth",Surfing,M,44,No injury,N,Unknown,Bronze whaler shark,surfing,bronze whaler
2005-07-17,Invalid,Liberia,Unknown,Unknown,Swimming,M,Unknown,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,Unknown,Unknown,Shark involvement prior  death was not confirmed,swimming,
2005-01-08,Watercraft,New Zealand,North Island,Taupiri Bay,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12:00,White shark,fishing,white shark
2004-12-16,Unprovoked,Australia,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15:15, &  white shark,surfing,white shark
2004-05-23,Unprovoked,Brazil,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14:30,Bull shark,swimming,bull shark
2004-05-18,Provoked,Bahamas,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15:00,  Caribbean reef shark (Carcharhinus  perezi),diving,caribbean reef shark
2003-11-01,Provoked,Panama,Pearl Islands,Unknown,Spearfishing,M,Unknown,Left forearm bitten PROVOKED INCIDENT,N,Unknown,"Nurse shark,  c  c",fishing,nurse shark
2003-09-13,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,Unknown,shark,bathing,
2003-07-10,Unprovoked,Bahamas,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,14:30,Unidentified species,fishing,
2003-06-26,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Unknown,  shark,surfing,
2003-06-24,Unprovoked,Brazil,Pernambuco,"Piedade, Recife",Unknown,M,Unknown,FATAL,Y,Unknown,Unknown,other,
2003-01-17,Invalid,South Africa,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",Unknown,M,14,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,Unknown,Unknown,Shark involvement prior  death was not confirmed,other,
2002-12-21,Unprovoked,Australia,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,26,Groin bitten,N,Unknown,"Wobbegong shark, m",scuba diving,wobbegong shark
2002-04-21,Invalid,Australia,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing (Drowned 2-Apr-2002),M,52,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",Unknown,Unknown,Invalid,fishing,
2001-09-18,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,1 to 2 cuts on right ankle & foot,N,15:00,Unknown,surfing,
2001-09-07,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Walking in shallows,M,13,Minor injury to left leg,N,18:40,Unknown,other,
2001-09-02,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,20,Right calf lacerated,N,Unknown,  shark,other,
2001-08-26,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,18,Thigh & foot bitten,N,16:00,Unknown,boogie boarding,
2001-08-05,Unprovoked,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",Unknown,F,Unknown,Toe bitten,N,Unknown,Unknown,other,
2001-07-25,Unprovoked,USA,Florida,"Taverniier, Monroe County",Unknown,M,Unknown,Minor injury,N,16:00,Unknown,other,
2001-05-08,Unprovoked,South Africa,Eastern Cape Province,East London,Surfing,M,26,Leg bitten,N,Unknown,"White shark,    ",surfing,white shark
2001-05-03,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,45,Foot lacerated,N,19:00,    shark,surfing,
2001-02-04,Unprovoked,Australia,New South Wales,Broome Head,Surfing,M,40,Leg bitten,N,16:15,"Bronze whaler shark,    k",surfing,bronze whaler
2000-08-21,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises,M,Unknown,"Severe gash to left hand above wrist, almost severing hand",N,Unknown,Unknown,swimming,
2000-07-02,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,19,Left thigh lacerated,N,14:45,"  shark,  probably blacktip or spinner shark",bathing,spinner shark
2000-04-14,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,34,Left foot lacerated,N,11:57,Unknown,other,
2000-03-09,Watercraft,Australia,New South Wales,Parramatta River,Rowing,Unknown,Unknown,No injury to occupants; oar bitten,N,Unknown,Unknown,other,
1999-11-30,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,19,Lacerations to hand & wrist,N,15:30,Unknown,surfing,
1997-09-08,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,2 small lacerations to bottom of foot,N,Unknown,small blacktip shark,surfing,blacktip shark
1997-05-31,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,12,Left ankle bitten,N,11:00,Possibly sand shark,surfing,sand shark
1997-02-28,Unprovoked,Australia,Queensland,"Carrara, Nerang River",Swimming,F,21,Left leg biten,N,Unknown,small shark,swimming,
1996-09-01,Invalid,USA,South Carolina,"Garden City Beach, Horry County",Boogie boarding,F,28,Minor injuries to foot,Unknown,Unknown,Shark involvement not confirmed,boogie boarding,
1996-08-29,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Body Boarding,M,19,Right calf bitten,N,16:00,"Tiger shark,  ",body boarding,tiger shark
1996-07-10,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,18,Right foot bitten,N,13:45,Unknown,other,
1996-05-24,Invalid,Australia,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving,M,45,"FATAL, but shark involvement prior to death was not confirmed",Y,Unknown,Shark involvement prior  death suspected but not confirmed,diving,
1996-02-19,Provoked,USA,Missouri,St. Louis,Swimming in fish tank,F,32,5 punctures to hand from captive shark PROVOKED INCIDENT,N,Unknown,nurse shark,swimming,nurse shark
1995-08-31,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",On a float,M,44,Puncture wounds on ankle & leg,N,Unknown,Unknown,other,
1995-04-13,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Unknown,M,20,Puncture wounds on right foot,N,13:20,Unknown,other,
1994-02-27,Unprovoked,South Africa,Western Cape Province,Saxon Reef,Spearfishing,M,Unknown,Swim fin bitten,N,11:00,  shark,fishing,
1993-06-30,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Swimming,M,Unknown,FATAL,Y,Unknown,Unknown,swimming,
1992-03-08,Unprovoked,Japan,Ehime Prefecture,Matsuyama,Hookah diving for pen shells,M,41,"FATAL, body not recovered",Y,15:20,"  white shark, identification by K. Nakaya",diving,white shark
1992-01-03,Unprovoked,Japan,Ehime Prefecture,Matsuyama,Unknown,M,Unknown,Survived,N,Unknown,Unknown,other,
1991-11-14,Provoked,USA,Florida,Near Port Canaveral Coast Guard Base,Fishing,M,Unknown,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,12:54,  shark,fishing,
1990-08-05,Provoked,Bahamas,Unknown,Unknown,Fishing,M,51,Injury to lower left leg by hooked shark  PROVOKED INCIDENT,N,Unknown,Unknown,fishing,
1990-06-24,Unprovoked,South Africa,Western Cape Province,Mossel Bay,Scuba diving (but on surface),F,21,"FATAL, thigh bitten",Y,15:45,  white shark,scuba diving,white shark
1990-04-09,Unprovoked,Australia,Queensland,Greenmount Beach,Surfing,M,31,"Lacerations & abrasions, board bitten in half",N,05:40,"Tiger shark,  m",surfing,tiger shark
1987-09-18,Unprovoked,Australia,South Australia,"Merino Rocks, Adelaide",Scuba Diving for scallops,M,47,FATAL,Y,Unknown,White shark,scuba diving,white shark
1987-06-13,Provoked,USA,Florida,"Nest Key, Monroe County",Fishing,M,Unknown,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,Unknown,  blacktip shark,fishing,blacktip shark
1986-08-19,Unprovoked,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,Unknown,16,Hand bitten,N,Unknown,Unknown,surfing,
1986-08-19,Unprovoked,Italy,Sicily,Punta Secca,Snorkeling,M,13,Contusion of left foot,N,16:00,     white shark,snorkelling,white shark
1984-01-01,Provoked,USA,California,San Francisco,Steinhart Aquarium,M,Unknown,Head mouthed by captive shark PROVOKED INCIDENT,N,Unknown,Sevengill shark,other,
1982-09-27,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,20,Laceration to lower left leg,N,13:30,  shark,surfing,
1982-02-07,Unprovoked,USA,Florida,Elliot Key,Diving,M,29,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,Unknown,Unknown,diving,
1981-09-03,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,25,Lacerations to 2 fingers of left hand,N,12:00,Unknown,surfing,
1981-05-19,Unprovoked,USA,Florida,"Sands Cut, Elliot Key",Free diving,M,32,Massive tissue damage of left arm,N,Unknown,Unknown,diving,
